iter	Passed	Remaining
0	182	181880
1	188	94166
2	199	66329
3	209	52138
4	218	43439
5	229	38004
6	261	37148
7	277	34375
8	289	31906
9	301	29805
10	308	27767
11	318	26191
12	327	24854
13	335	23655
14	353	23239
15	363	22376
16	373	21616
17	383	20949
18	394	20352
19	405	19879
20	414	19319
21	425	18928
22	437	18577
23	446	18161
24	459	17921
25	472	17708
26	484	17475
27	494	17174
28	505	16935
29	517	16739
30	527	16477
31	539	16321
32	553	16229
33	565	16054
34	573	15816
35	587	15727
36	600	15621
37	609	15425
38	620	15298
39	632	15190
40	644	15085
41	657	15004
42	670	14912
43	680	14788
44	689	14639
45	702	14579
46	714	14496
47	729	14470
48	739	14349
49	751	14272
50	764	14232
51	776	14153
52	798	14262
53	809	14187
54	819	14072
55	830	14003
56	845	13994
57	858	13937
58	867	13837
59	878	13766
60	888	13678
61	897	13576
62	908	13514
63	916	13401
64	927	13341
65	937	13260
66	945	13159
67	957	13124
68	966	13039
69	976	12974
70	985	12896
71	995	12834
72	1010	12835
73	1025	12831
74	1038	12804
75	1053	12813
76	1064	12758
77	1079	12765
78	1092	12740
79	1106	12721
80	1115	12655
81	1129	12644
82	1144	12640
83	1158	12636
84	1168	12582
85	1178	12529
86	1192	12511
87	1204	12485
88	1215	12443
89	1228	12423
90	1239	12382
91	1254	12379
92	1264	12330
93	1276	12304
94	1289	12283
95	1300	12247
96	1311	12209
97	1325	12197
98	1343	12225
99	1360	12245
100	1373	12226
101	1387	12216
102	1403	12224
103	1417	12208
104	1433	12214
105	1445	12190
106	1457	12162
107	1468	12128
108	1476	12069
109	1488	12039
110	1499	12011
111	1510	11972
112	1523	11961
113	1537	11947
114	1549	11923
115	1560	11891
116	1573	11875
117	1585	11851
118	1595	11814
119	1604	11768
120	1617	11746
121	1626	11702
122	1636	11668
123	1649	11653
124	1658	11607
125	1669	11583
126	1682	11565
127	1691	11522
128	1701	11486
129	1712	11459
130	1721	11421
131	1733	11397
132	1743	11366
133	1754	11337
134	1764	11308
135	1775	11280
136	1785	11245
137	1798	11231
138	1809	11209
139	1818	11172
140	1831	11156
141	1843	11141
142	1853	11108
143	1866	11095
144	1880	11086
145	1893	11073
146	1903	11046
147	1915	11028
148	1930	11027
149	1944	11019
150	1958	11012
151	1972	11005
152	1981	10967
153	1994	10957
154	2007	10945
155	2017	10912
156	2028	10890
157	2039	10870
158	2051	10848
159	2062	10829
160	2076	10821
161	2090	10811
162	2136	10971
163	2157	10999
164	2168	10972
165	2190	11006
166	2202	10987
167	2211	10952
168	2222	10928
169	2232	10901
170	2243	10874
171	2254	10853
172	2265	10828
173	2276	10804
174	2288	10789
175	2299	10765
176	2310	10740
177	2323	10730
178	2334	10708
179	2346	10690
180	2357	10668
181	2372	10661
182	2383	10641
183	2395	10621
184	2407	10604
185	2417	10580
186	2427	10553
